parameter,value
"Total consumption",6738.701
"Sum of all exports",1102.055
"Sum of all respiratory flows",2423.908
"Sum of all flows into detritus",3816.111
"Total system throughput",14080.78
"Sum of all production",5180.666
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000657812
"Calculated total net primary production",3471.538
"Total primary production/total respiration",1.432207
"Net system production",1047.63
"Total primary production/total biomass",8.103396
"Total biomass/total throughput",0.03042484
"Total biomass (excluding detritus)",428.4053
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002259
"Total market value",2.14144
"Total shadow value",0.07049708
"Total value",2.211937
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987856
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033402
