parameter,value
"Total consumption",6726.26
"Sum of all exports",1188.889
"Sum of all respiratory flows",2388.879
"Sum of all flows into detritus",3916.188
"Total system throughput",14220.22
"Sum of all production",5260.244
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000648255
"Calculated total net primary production",3522.718
"Total primary production/total respiration",1.474632
"Net system production",1133.839
"Total primary production/total biomass",8.17592
"Total biomass/total throughput",0.03029947
"Total biomass (excluding detritus)",430.865
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200538
"Total market value",2.14144
"Total shadow value",0.07066661
"Total value",2.212106
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989551
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03084
