parameter,value
"Total consumption",6736.451
"Sum of all exports",1158.07
"Sum of all respiratory flows",2409.953
"Sum of all flows into detritus",3907.964
"Total system throughput",14212.44
"Sum of all production",5235.953
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006499293
"Calculated total net primary production",3513.643
"Total primary production/total respiration",1.457971
"Net system production",1103.69
"Total primary production/total biomass",8.188373
"Total biomass/total throughput",0.03019197
"Total biomass (excluding detritus)",429.1015
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001681
"Total market value",2.14144
"Total shadow value",0.07053937
"Total value",2.211979
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988281
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033853
