parameter,value
"Total consumption",6690.072
"Sum of all exports",1169.681
"Sum of all respiratory flows",2387.229
"Sum of all flows into detritus",3886.437
"Total system throughput",14133.42
"Sum of all production",5219.304
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006522255
"Calculated total net primary production",3501.273
"Total primary production/total respiration",1.466668
"Net system production",1114.043
"Total primary production/total biomass",8.112409
"Total biomass/total throughput",0.03053718
"Total biomass (excluding detritus)",431.5948
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999129
"Total market value",2.14144
"Total shadow value",0.0727714
"Total value",2.214211
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5010599
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035684
