GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001007488,0.05067544,5.974248,0,0.008482312,0,0,0,0,0.05067544,1
2,Salmon_sharks,0.2221907,0.1006849,6.042622,0.5128371,0.01666246,0.05163497,0,0,0,0.04904996,0.4871629
3,Resident_orca,0.01503098,0.05064879,8.706897,0,0.005817089,0,0,0,0,0.05064879,1
4,Sleeper_sharks,0.1098542,0.07206203,3.561333,0,0.02023457,0,0,0,0,0.07206203,1
5,Halibut,0.671681,0.3152876,1.733306,0.2482203,0.1818995,0.0255248,0.05273599,0,0,0.2370268,0.9190428
6,Pinnipeds,0.07263786,0.05734546,25.74417,0.8367124,0.002227512,0.009083102,0.03889855,0,0,0.009363805,0.8416073
7,Porpoise,0.01546037,0.1495752,29.27658,0.8945378,0.005109038,0.0002605319,0.1335401,0,0,0.01577453,0.9982582
8,Lingcod,0.07688644,0.5847782,3.321064,0.8228153,0.1760816,0.02065969,0.4605048,0,0,0.1036138,0.9646709
9,Arrowtooth_L,3.793769,0.2580145,1.48104,0.1354442,0.1742117,0.0003848131,0.03456175,0,0,0.2230679,0.9985086
10,Salmon_L,3.411116,1.511495,11.82003,0.6977492,0.1278757,0.5451354,0.5095088,0,0,0.4568505,0.6393402
11,Pacific_cod,0.2985276,1.220621,3.948983,0.6823629,0.3090976,0.2222652,0.6106413,0,0,0.3877146,0.8179081
12,Sablefish,0.471541,0.5670039,6.460948,0.88957,0.08775862,0.03967906,0.4647105,0,0,0.06261424,0.9300198
13,Arrowtooth_S,0.2364029,0.2104835,3.339281,0.9471132,0.06303257,0,0.1993517,0,0,0.01113181,1
14,Spiny_dogfish,0.1589885,0.09000971,3.001034,0.7612184,0.0299929,0,0.06851705,0,0,0.02149266,1
15,Avian_raptors,0.003194715,0.05062323,36.21474,0,0.001397862,0,0,0,0,0.05062323,1
16,Octopods,0.1471198,3.205096,11.66099,0.9528818,0.2748562,0.001570743,3.052506,0,0,0.1510185,0.9995099
17,Seabirds,0.02158547,0.1703734,150.2318,0.6596449,0.00113407,0,0.112386,0,0,0.05798746,1
18,Deep_demersals,0.9891927,0.9969027,3.220422,0.9380147,0.3095566,0.002731394,0.932378,0,0,0.06179333,0.9972601
19,Pollock_L,5.031846,1.287753,2.712243,0.5574265,0.4747927,0.03238255,0.6854451,0,0,0.5699254,0.9748535
20,Rockfish,1.044278,0.2954899,3.546677,0.7818868,0.08331459,0.01312777,0.2179119,0,0,0.06445027,0.9555728
21,Baleen_whales,0.1459273,0.0516345,10.90033,0.0760845,0.004736966,0,0.003928585,0,0,0.04770592,1
22,Salmon_fry_S,0.7822407,2.213584,27.11863,0.1696693,0.08162595,0,0.3755772,0,0,1.838007,1
23,Nshore_demersal,4.343453,0.9843842,4.181478,0.7730588,0.2354154,3.699595E-05,0.7609498,0,0,0.2233974,0.9999624
24,Squids,2.970031,3.001932,15.01587,0.9386534,0.1999173,3.946238E-05,2.817734,0,0,0.1841583,0.9999868
25,Eulachon,1.089482,2.474118,18.08085,0.6851093,0.1368363,0.0001199225,1.694921,0,0,0.7790766,0.9999515
26,Sea_otters,0.04124864,0.1292713,117.2849,0.005408943,0.001102199,4.303754E-06,0.0006949173,0,0,0.1285721,0.9999667
