parameter,value
"Total consumption",6831.02
"Sum of all exports",1075.437
"Sum of all respiratory flows",2459.147
"Sum of all flows into detritus",3833.303
"Total system throughput",14198.91
"Sum of all production",5209.535
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006560161
"Calculated total net primary production",3481.042
"Total primary production/total respiration",1.415548
"Net system production",1021.894
"Total primary production/total biomass",8.06863
"Total biomass/total throughput",0.03038467
"Total biomass (excluding detritus)",431.4291
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000597
"Total market value",2.14144
"Total shadow value",0.07107326
"Total value",2.212513
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993619
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02959
