GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001009476,0.0495785,6.140057,0,0.0080746,0,0,0,0,0.0495785,1
2,Salmon_sharks,0.2242769,0.1012162,5.890075,0.5053999,0.0171842,0.05115467,0,0,0,0.05006156,0.4946002
3,Resident_orca,0.01505756,0.05000418,8.517435,0,0.005870803,0,0,0,0,0.05000418,1
4,Sleeper_sharks,0.1099491,0.0694956,3.627817,0,0.01915631,0,0,0,0,0.0694956,1
5,Halibut,0.6805608,0.314048,1.714036,0.249347,0.1832213,0.02519176,0.05311517,0,0,0.2357411,0.9197837
6,Pinnipeds,0.07252029,0.05974272,25.99515,0.8238629,0.002298226,0.009097827,0.04012198,0,0,0.01052291,0.8477166
7,Porpoise,0.01479909,0.1548042,29.22649,0.9297829,0.005296707,0.0002721735,0.1436621,0,0,0.0108699,0.9982418
8,Lingcod,0.07711691,0.5883386,3.274083,0.8240005,0.1796957,0.02059795,0.4641934,0,0,0.1035473,0.9649897
9,Arrowtooth_L,3.928136,0.2598675,1.422592,0.1321518,0.1826718,0.0003716501,0.03397029,0,0,0.2255256,0.9985698
10,Salmon_L,3.352797,1.555676,11.69394,0.686905,0.1330327,0.5546176,0.513984,0,0,0.4870745,0.6434877
11,Pacific_cod,0.2991048,1.220785,3.937412,0.6735893,0.3100476,0.2218363,0.6004714,0,0,0.3984772,0.8182839
12,Sablefish,0.4736825,0.5550088,6.474882,0.8875951,0.08571722,0.03949968,0.4531234,0,0,0.06238573,0.9288306
13,Arrowtooth_S,0.248232,0.2139334,3.204618,0.8991048,0.06675784,0,0.1923485,0,0,0.02158484,1
14,Spiny_dogfish,0.1629744,0.09060081,2.959643,0.7258837,0.03061207,0,0.06576565,0,0,0.02483516,1
15,Avian_raptors,0.003311315,0.0520789,36.0143,0,0.001446062,0,0,0,0,0.0520789,1
16,Octopods,0.1532283,3.073977,11.45835,0.9551862,0.2682741,0.001508125,2.934713,0,0,0.1377566,0.9995094
17,Seabirds,0.02143113,0.1717443,148.8524,0.6793513,0.001153789,0,0.1166747,0,0,0.05506958,1
18,Deep_demersals,0.9904218,0.987272,3.255784,0.9534749,0.3032363,0.002728004,0.938611,0,0,0.04593295,0.9972368
19,Pollock_L,4.968906,1.313404,2.749952,0.5526367,0.4776099,0.03279273,0.6930428,0,0,0.5875688,0.9750323
20,Rockfish,1.08526,0.3082186,3.40545,0.7227999,0.09050746,0.01263203,0.2101483,0,0,0.08543823,0.959016
21,Baleen_whales,0.1492746,0.05007935,10.90059,0.07897206,0.004594187,0,0.00395487,0,0,0.04612448,1
22,Salmon_fry_S,0.793133,2.160633,26.52261,0.1697735,0.08146381,0,0.3668182,0,0,1.793815,1
23,Nshore_demersal,4.254578,0.9985217,4.166846,0.7723333,0.2396349,3.776877E-05,0.7711539,0,0,0.2273301,0.9999622
24,Squids,3.010257,2.993451,15.15508,0.9572003,0.1975213,3.893504E-05,2.865293,0,0,0.1281188,0.999987
25,Eulachon,1.080905,2.440481,18.00836,0.698583,0.1355194,0.000120874,1.704758,0,0,0.7356026,0.9999505
26,Sea_otters,0.04144195,0.1299289,115.0514,0.005515009,0.001129312,4.283678E-06,0.0007122756,0,0,0.1292124,0.999967
27,Deep_epibenthos,30.51763,3.090742,10.16865,0.9251313,0.303948,0.0001531836,2.859189,0,0,0.2313999,0.9999504
28,Capelin,0.4540222,3.440418,18.06432,0.5456837,0.1904537,0.0001413827,1.877239,0,0,1.563038,0.9999589
29,Herring_L,2.938315,0.3968757,3.461083,0.9541876,0.1146681,0.0003589511,0.3783349,0,0,0.01818182,0.9990956
30,Pollock_S,0.6263649,2.308038,7.676539,0.3819954,0.3006612,0,0.8816599,0,0,1.426378,1
31,Invert_eat_seaduck,0.0002780808,0.198693,149.1399,0.738905,0.001332259,0,0.1468153,0,0,0.05187775,1
32,Oystercatchers,0.0002979977,0.2976588,148.8475,0.9411356,0.001999757,0,0.2801373,0,0,0.01752149,1
33,Sandlance,0.6059508,2.019225,17.89309,0.7098637,0.1128494,0,1.433375,0,0,0.5858505,1
34,Sunflower_stars,0.3555998,2.033582,9.968738,0.9684293,0.2039959,0,1.96938,0,0,0.06420154,1
35,Pisaster_Evasterias,1.020036,1.975522,9.813082,0.5866668,0.2013151,0,1.158973,0,0,0.8165487,1
36,Leather_stars,0.99203,2.005685,9.970455,0.5462306,0.2011628,0,1.095566,0,0,0.9101183,1
37,Cucumbers,0.5379144,0.5829883,3.359482,0.7476319,0.1735352,1.396133E-07,0.4358605,0,0,0.1471277,0.9999998
38,Urchins,0.5853742,0.5945472,2.837655,0.7675319,0.2095206,3.314119E-07,0.4563335,0,0,0.1382133,0.9999995
39,Helmet_crab,0.8092669,1.97696,9.937647,0.9065637,0.1989364,0,1.79224,0,0,0.1847198,1
40,Herring_S,2.002388,1.470994,8.081112,0.7588052,0.1820286,0,1.116198,0,0,0.354796,1
41,Jellies,6.293039,4.931465,28.97979,0.0564118,0.1701691,0,0.2781928,0,0,4.653272,1
42,Deep_infauna_S,50.23289,3.005583,23.42366,0.9312759,0.128314,0,2.799027,0,0,0.206556,1
43,Zoopl_near_onmiv,0.1070084,7.869504,26.54823,0.6833223,0.2964229,0,5.377407,0,0,2.492097,1
44,Zoop_omniv,25.35048,12.0016,22.24699,0.8040649,0.539471,0,9.650068,0,0,2.351536,1
45,Shallow_infauna_S,50.59405,3.802778,22.88421,0.9043421,0.1661748,0,3.439013,0,0,0.363766,1
