parameter,value
"Total consumption",6765.117
"Sum of all exports",1142.091
"Sum of all respiratory flows",2391.364
"Sum of all flows into detritus",3879.041
"Total system throughput",14177.61
"Sum of all production",5238.552
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006561358
"Calculated total net primary production",3480.406
"Total primary production/total respiration",1.455407
"Net system production",1089.043
"Total primary production/total biomass",8.0667
"Total biomass/total throughput",0.03043203
"Total biomass (excluding detritus)",431.4536
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200495
"Total market value",2.14144
"Total shadow value",0.07605404
"Total value",2.217494
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5043427
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0319
