parameter,value
"Total consumption",6820.185
"Sum of all exports",1132.955
"Sum of all respiratory flows",2440.74
"Sum of all flows into detritus",3902.692
"Total system throughput",14296.57
"Sum of all production",5260.468
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006490978
"Calculated total net primary production",3518.144
"Total primary production/total respiration",1.441425
"Net system production",1077.403
"Total primary production/total biomass",8.160195
"Total biomass/total throughput",0.03015651
"Total biomass (excluding detritus)",431.1347
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003115
"Total market value",2.14144
"Total shadow value",0.07299016
"Total value",2.21443
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012788
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029798
