parameter,value
"Total consumption",6727.807
"Sum of all exports",1169.152
"Sum of all respiratory flows",2405.277
"Sum of all flows into detritus",3868.053
"Total system throughput",14170.29
"Sum of all production",5241.965
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006489229
"Calculated total net primary production",3519.092
"Total primary production/total respiration",1.463071
"Net system production",1113.815
"Total primary production/total biomass",8.224536
"Total biomass/total throughput",0.03019538
"Total biomass (excluding detritus)",427.8773
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003814
"Total market value",2.14144
"Total shadow value",0.07170711
"Total value",2.213147
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999956
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036102
