parameter,value
"Total consumption",6842.208
"Sum of all exports",1113.588
"Sum of all respiratory flows",2453.89
"Sum of all flows into detritus",3872.843
"Total system throughput",14282.53
"Sum of all production",5253.697
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006501997
"Calculated total net primary production",3512.182
"Total primary production/total respiration",1.431271
"Net system production",1058.292
"Total primary production/total biomass",8.108827
"Total biomass/total throughput",0.03032592
"Total biomass (excluding detritus)",433.1307
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001103
"Total market value",2.14144
"Total shadow value",0.07166871
"Total value",2.213109
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999572
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027632
