parameter,value
"Total consumption",6693.87
"Sum of all exports",1161.844
"Sum of all respiratory flows",2386.657
"Sum of all flows into detritus",3905.158
"Total system throughput",14147.53
"Sum of all production",5213.446
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006537869
"Calculated total net primary production",3492.911
"Total primary production/total respiration",1.463516
"Net system production",1106.254
"Total primary production/total biomass",8.142012
"Total biomass/total throughput",0.03032321
"Total biomass (excluding detritus)",428.9985
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002914
"Total market value",2.14144
"Total shadow value",0.06850719
"Total value",2.209947
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4967958
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034097
