parameter,value
"Total consumption",6699.619
"Sum of all exports",1105.188
"Sum of all respiratory flows",2406.963
"Sum of all flows into detritus",3785.626
"Total system throughput",13997.4
"Sum of all production",5158.845
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006607922
"Calculated total net primary production",3455.881
"Total primary production/total respiration",1.435785
"Net system production",1048.918
"Total primary production/total biomass",8.096349
"Total biomass/total throughput",0.03049456
"Total biomass (excluding detritus)",426.8444
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000626
"Total market value",2.14144
"Total shadow value",0.06878842
"Total value",2.210228
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4970771
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034169
