parameter,value
"Total consumption",6796.272
"Sum of all exports",1199.684
"Sum of all respiratory flows",2409.267
"Sum of all flows into detritus",3978.249
"Total system throughput",14383.47
"Sum of all production",5313.012
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006424119
"Calculated total net primary production",3554.759
"Total primary production/total respiration",1.475453
"Net system production",1145.492
"Total primary production/total biomass",8.214195
"Total biomass/total throughput",0.03008717
"Total biomass (excluding detritus)",432.758
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200099
"Total market value",2.14144
"Total shadow value",0.07263583
"Total value",2.214076
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5009245
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03313
