parameter,value
"Total consumption",6739.995
"Sum of all exports",1123.635
"Sum of all respiratory flows",2423.769
"Sum of all flows into detritus",3881.216
"Total system throughput",14168.61
"Sum of all production",5202.17
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006538839
"Calculated total net primary production",3492.393
"Total primary production/total respiration",1.440894
"Net system production",1068.624
"Total primary production/total biomass",8.129019
"Total biomass/total throughput",0.03032198
"Total biomass (excluding detritus)",429.6204
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001875
"Total market value",2.14144
"Total shadow value",0.07299601
"Total value",2.214436
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012845
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033216
