parameter,value
"Total consumption",6710.667
"Sum of all exports",1110.041
"Sum of all respiratory flows",2372.84
"Sum of all flows into detritus",3836.829
"Total system throughput",14030.38
"Sum of all production",5171.392
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006661564
"Calculated total net primary production",3428.053
"Total primary production/total respiration",1.444705
"Net system production",1055.213
"Total primary production/total biomass",7.985236
"Total biomass/total throughput",0.03059782
"Total biomass (excluding detritus)",429.2989
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001953
"Total market value",2.14144
"Total shadow value",0.06981587
"Total value",2.211256
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981045
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029212
