parameter,value
"Total consumption",6777.543
"Sum of all exports",1139.87
"Sum of all respiratory flows",2424.182
"Sum of all flows into detritus",3883.259
"Total system throughput",14224.85
"Sum of all production",5242.785
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006506144
"Calculated total net primary production",3509.943
"Total primary production/total respiration",1.447887
"Net system production",1085.76
"Total primary production/total biomass",8.132371
"Total biomass/total throughput",0.03034136
"Total biomass (excluding detritus)",431.6014
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001873
"Total market value",2.14144
"Total shadow value",0.07235813
"Total value",2.213798
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006467
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031775
