parameter,value
"Total consumption",6890.172
"Sum of all exports",1143.244
"Sum of all respiratory flows",2492.412
"Sum of all flows into detritus",3925.386
"Total system throughput",14451.21
"Sum of all production",5312.369
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006377618
"Calculated total net primary production",3580.677
"Total primary production/total respiration",1.436631
"Net system production",1088.265
"Total primary production/total biomass",8.211034
"Total biomass/total throughput",0.03017609
"Total biomass (excluding detritus)",436.0812
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003627
"Total market value",2.14144
"Total shadow value",0.07434521
"Total value",2.215785
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026337
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027498
