parameter,value
"Total consumption",6807.705
"Sum of all exports",1033.309
"Sum of all respiratory flows",2435.205
"Sum of all flows into detritus",3786.19
"Total system throughput",14062.41
"Sum of all production",5153.61
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006688206
"Calculated total net primary production",3414.397
"Total primary production/total respiration",1.402099
"Net system production",979.1926
"Total primary production/total biomass",7.921749
"Total biomass/total throughput",0.0306502
"Total biomass (excluding detritus)",431.0156
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001535
"Total market value",2.14144
"Total shadow value",0.07327993
"Total value",2.21472
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015684
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029947
