parameter,value
"Total consumption",6671.405
"Sum of all exports",1160.065
"Sum of all respiratory flows",2386.298
"Sum of all flows into detritus",3885.248
"Total system throughput",14103.02
"Sum of all production",5198.777
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006538738
"Calculated total net primary production",3492.447
"Total primary production/total respiration",1.463542
"Net system production",1106.148
"Total primary production/total biomass",8.160914
"Total biomass/total throughput",0.03034443
"Total biomass (excluding detritus)",427.9479
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998975
"Total market value",2.14144
"Total shadow value",0.07146229
"Total value",2.212902
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499751
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035684
