parameter,value
"Total consumption",6658.21
"Sum of all exports",1149.185
"Sum of all respiratory flows",2381.48
"Sum of all flows into detritus",3839.36
"Total system throughput",14028.24
"Sum of all production",5179.707
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006567926
"Calculated total net primary production",3476.926
"Total primary production/total respiration",1.459985
"Net system production",1095.446
"Total primary production/total biomass",8.121782
"Total biomass/total throughput",0.03051695
"Total biomass (excluding detritus)",428.0989
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002927
"Total market value",2.14144
"Total shadow value",0.07303809
"Total value",2.214478
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013267
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035513
