parameter,value
"Total consumption",6634.083
"Sum of all exports",1076.03
"Sum of all respiratory flows",2346.553
"Sum of all flows into detritus",3750.701
"Total system throughput",13807.37
"Sum of all production",5090.983
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000678029
"Calculated total net primary production",3368.026
"Total primary production/total respiration",1.435308
"Net system production",1021.474
"Total primary production/total biomass",7.876427
"Total biomass/total throughput",0.03096958
"Total biomass (excluding detritus)",427.6084
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001318
"Total market value",2.14144
"Total shadow value",0.07075754
"Total value",2.212198
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990462
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033114
