parameter,value
"Total consumption",6842.832
"Sum of all exports",1132.19
"Sum of all respiratory flows",2446.408
"Sum of all flows into detritus",3896.964
"Total system throughput",14318.39
"Sum of all production",5271.772
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006482257
"Calculated total net primary production",3522.877
"Total primary production/total respiration",1.44002
"Net system production",1076.469
"Total primary production/total biomass",8.1887
"Total biomass/total throughput",0.03004611
"Total biomass (excluding detritus)",430.212
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998584
"Total market value",2.14144
"Total shadow value",0.07088616
"Total value",2.212326
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991747
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031374
