parameter,value
"Total consumption",6783.738
"Sum of all exports",1097.918
"Sum of all respiratory flows",2456.632
"Sum of all flows into detritus",3815.601
"Total system throughput",14153.89
"Sum of all production",5203.491
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006525111
"Calculated total net primary production",3499.74
"Total primary production/total respiration",1.424609
"Net system production",1043.108
"Total primary production/total biomass",8.119546
"Total biomass/total throughput",0.03045288
"Total biomass (excluding detritus)",431.0266
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003459
"Total market value",2.14144
"Total shadow value",0.07371558
"Total value",2.215156
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5020043
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032218
