parameter,value
"Total consumption",6742.277
"Sum of all exports",1135.313
"Sum of all respiratory flows",2420.642
"Sum of all flows into detritus",3881.906
"Total system throughput",14180.14
"Sum of all production",5217.258
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521373
"Calculated total net primary production",3501.747
"Total primary production/total respiration",1.446619
"Net system production",1081.105
"Total primary production/total biomass",8.135941
"Total biomass/total throughput",0.03035264
"Total biomass (excluding detritus)",430.4047
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001508
"Total market value",2.14144
"Total shadow value",0.06853347
"Total value",2.209973
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.496822
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030259
