parameter,value
"Total consumption",6766.299
"Sum of all exports",1153.899
"Sum of all respiratory flows",2412.749
"Sum of all flows into detritus",3920.472
"Total system throughput",14253.42
"Sum of all production",5249.1
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006500595
"Calculated total net primary production",3512.939
"Total primary production/total respiration",1.455991
"Net system production",1100.191
"Total primary production/total biomass",8.165558
"Total biomass/total throughput",0.03018323
"Total biomass (excluding detritus)",430.2142
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005043
"Total market value",2.14144
"Total shadow value",0.06900929
"Total value",2.210449
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4972979
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03136
