Data,Month,Year,FIB index,Total catch,Kemptons Q,TL of catch,FCI,Catch PPR,Catch detritus required,Loss of production (relative),Psust,SOI,Ascendency on flow
31,7,1991,0.959081173,3.304677248,0.985894978,2.447359085,14.29560089,1.398511052,2.964801073,1.25712049,0.725895226,0.186901137,25.22279167
32,8,1991,0.9263044,2.694653988,0.984097898,2.503448725,15.88080502,0.935818613,2.514293909,1.038924813,0.947834969,0.190455481,24.72325325
33,9,1991,0.847254753,1.508751035,0.983333886,2.707529783,16.19547272,0.647232711,1.899252057,0.740935624,1.455278873,0.191696152,24.49134445
34,10,1991,0.830381513,0.956687391,0.986852288,3.023864985,13.58643532,0.739614248,1.519158363,0.372370988,2.35375905,0.184715807,24.48024178
35,11,1991,0.85463649,0.875082016,0.9885813,3.146654606,12.18983364,0.92277199,1.502019167,0.198754773,2.757959843,0.178824291,24.70884323
36,12,1991,0.8852368,0.906895399,0.988243341,3.153897524,11.4743948,1.066009879,1.641140223,0.204665005,2.746011257,0.17615588,24.93065071
37,1,1992,1.023969412,2.23711586,0.986664534,2.628246784,10.73441029,1.580021024,1.754850268,0.22870104,2.695670366,0.174026892,25.13172722
38,2,1992,1.175016284,3.67214632,0.984673679,2.505903006,11.25868893,1.721486807,1.813725233,0.278024346,2.584851742,0.175477922,25.40832138
39,3,1992,1.330358267,6.477405071,0.98305583,2.405680656,11.74468422,2.562547207,3.04734683,0.405611157,2.26898241,0.177006826,25.46316528
40,4,1992,1.414694309,8.913666725,0.97931546,2.337566137,8.960349083,5.416901588,4.698474884,0.696639001,1.551394463,0.169347405,25.1855545
41,5,1992,1.452567458,9.435545921,0.976218581,2.347799778,10.78168106,4.221087456,5.48581934,0.945557475,1.079986215,0.173988491,25.76386833
42,6,1992,1.597037911,12.75633907,0.974466383,2.329039097,13.19187641,3.476839066,6.006086349,1.383541703,0.642491698,0.180312976,25.53969383
43,7,1992,1.545477509,12.25804996,0.972742796,2.311118364,14.22716427,2.877800226,5.898285866,1.840837836,0.473124027,0.183623001,25.03679085
44,8,1992,1.418694258,9.400198936,0.971164167,2.312369108,14.66415024,2.21043539,5.205654621,1.873237729,0.463008225,0.185330763,24.75364304
45,9,1992,1.299164891,6.302859306,0.971241295,2.337287903,14.47290802,1.609582186,4.391956806,1.725015759,0.508290768,0.184966147,24.67232513
46,10,1992,1.219322562,4.431427956,0.974884391,2.353874683,11.09699535,1.863165736,3.989655018,1.570230007,0.558838964,0.174656019,24.63855553
47,11,1992,1.174926162,3.046040297,0.974500358,2.453312159,10.78618145,1.741484523,3.641016483,1.43389082,0.616150737,0.172038868,25.01708794
48,12,1992,1.205671072,3.61350894,0.973527193,2.407930374,11.1506176,1.921345592,3.996121407,1.576109171,0.5567168,0.172889993,25.28844452
49,1,1993,1.336463451,6.605949879,0.972630441,2.34870863,11.34897423,2.825692177,4.652925014,1.936253071,0.442530066,0.173141778,25.42202759
50,2,1993,1.41345346,8.259386063,0.971308053,2.336147308,12.32913494,2.886540174,5.074975967,2.293118,0.295473695,0.175826058,25.53406334
51,3,1993,1.444099545,9.522524834,0.970655859,2.301973104,10.09289646,4.524608135,5.864931583,2.68949914,0.097371541,0.17014046,25.16580009
52,4,1993,1.421983123,8.635048866,0.968101561,2.321841478,12.03010559,3.210621119,5.780753613,3.038820267,-0.0086981,0.175194696,25.72302055
53,5,1993,1.508302927,10.94236851,0.9675892,2.300005913,12.19082355,3.602445841,6.147781849,3.348084688,-0.003366228,0.176778585,25.4674015
54,6,1993,1.471157193,10.41726685,0.967220724,2.284032106,10.35497761,4.662161827,6.688992023,3.635868073,-0.015363167,0.171828955,25.15673065
55,7,1993,1.441100478,9.565846443,0.965339482,2.287416458,10.62044239,4.308232307,7.049736977,4.077693462,-0.929656565,0.172320694,25.39455414
56,8,1993,1.517275572,11.65353489,0.964044392,2.278168917,10.5056963,5.024614811,7.789138317,4.552798748,-6.468866825,0.172171488,25.49222565
57,9,1993,1.557848096,12.51818275,0.96234864,2.284506321,12.03448009,4.230237484,7.930234432,4.883761883,-17.20482445,0.176391408,25.83370781
58,10,1993,1.571062684,13.33575439,0.962445438,2.268963575,11.3664608,4.823359966,8.258376122,5.023200989,-24.63358688,0.175376713,25.46862602
59,11,1993,1.51720345,11.74855995,0.961577475,2.270285606,11.68710995,4.272953987,8.184724808,5.188779354,-36.56280136,0.176292479,25.46757317
60,12,1993,1.50744307,11.48560905,0.961337924,2.267170668,11.79016972,4.117985249,8.141634941,5.295815945,-46.46793747,0.176962972,25.43509293
61,1,1994,1.487569094,10.82511139,0.961322308,2.267507792,11.85845852,3.898721218,8.018435478,5.346049309,-51.80549622,0.177293316,25.40229225
62,2,1994,1.472789168,10.22136116,0.961298704,2.271473885,12.2365694,3.543643475,7.808283806,5.352011681,-52.47043228,0.178486839,25.4364357
63,3,1994,1.457886219,9.794216156,0.962171972,2.268864393,11.5672617,3.755866528,7.814382076,5.350346565,-52.28403091,0.176897109,25.28050423
64,4,1994,1.432856798,9.095220566,0.962439001,2.261565208,9.818382263,4.678649426,8.417982101,5.601816177,-87.1957016,0.171354875,25.24973869
65,5,1994,1.455136895,9.475831985,0.961060166,2.268560886,10.48528099,4.537323952,8.853132248,6.149888515,-229.5276184,0.173114792,25.63290596
66,6,1994,1.56646347,12.57240582,0.960476041,2.270952225,10.93103313,5.157410622,9.466424942,6.487761974,-386.1980591,0.174867287,25.79534912
67,7,1994,1.606482267,13.34724998,0.959252954,2.280262947,12.78286076,4.148036957,9.215788841,6.507473946,-397.5156555,0.180332243,25.79855728
68,8,1994,1.590668797,13.05185127,0.959591806,2.27368927,13.12444687,3.842402697,8.76940155,6.148207664,-228.9048767,0.182647929,25.56685257
69,9,1994,1.503970265,10.6938982,0.961821079,2.263237238,11.12621498,4.416755199,8.715834618,5.97877121,-172.8106079,0.177544788,25.15889168
70,10,1994,1.458882451,9.065477371,0.962028742,2.270217657,11.24321556,3.939534903,8.590070724,6.228297234,-260.1524048,0.177283838,25.38370323
71,11,1994,1.468284369,9.245107651,0.96218276,2.274197102,11.6204977,3.851686239,8.616306305,6.332346439,-305.8644714,0.178545401,25.52846718
72,12,1994,1.49347806,10.02092934,0.962605178,2.276494503,11.76905251,3.979713202,8.646427155,6.315235138,-297.9272461,0.178889096,25.54600334
73,1,1995,1.495017767,9.984548569,0.963012695,2.279142857,11.81070232,3.947423697,8.589912415,6.258785725,-272.9258118,0.178974211,25.50910759
74,2,1995,1.488501191,9.618836403,0.963088393,2.284548283,12.40825176,3.543445349,8.333871841,6.175443649,-239.1668396,0.180652127,25.58662415
75,3,1995,1.480474234,9.28003788,0.963562131,2.288595915,12.75263882,3.268018484,7.995694637,5.951990604,-165.0737305,0.181807369,25.49000549
76,4,1995,1.447970629,8.282850266,0.964894772,2.290665865,12.02622604,3.332651854,7.805650234,5.756869316,-116.7772522,0.179821908,25.25947189
77,5,1995,1.421782613,7.300216198,0.965554416,2.299491167,11.75871849,3.216381788,7.659307957,5.734258652,-112.0184555,0.178602323,25.30751419
78,6,1995,1.418357491,7.175845146,0.96604532,2.300213575,11.05247307,3.576483488,7.860395432,5.800728798,-126.4758835,0.176335976,25.31857491
79,7,1995,1.437436581,7.66657114,0.965621531,2.305141687,11.47202396,3.574240923,7.993515491,5.953280926,-165.4399109,0.177195862,25.52700043
80,8,1995,1.48908627,9.040109634,0.965243518,2.30641675,12.3383503,3.476437569,7.98710537,5.92802906,-158.3922424,0.179750651,25.66279984
81,9,1995,1.499474406,9.365465164,0.965516567,2.30402565,12.44324398,3.468413115,7.872058392,5.736124992,-112.4052505,0.180480495,25.50209618
82,10,1995,1.464560986,8.392930031,0.966089427,2.305499315,11.98139858,3.448124409,7.722131729,5.606562138,-88.00038147,0.179339677,25.31515503
83,11,1995,1.434118152,7.497361183,0.966526926,2.307837009,11.29262352,3.564208031,7.749115944,5.627739429,-91.66451263,0.177101254,25.27734947
84,12,1995,1.432454944,7.372385025,0.966241121,2.311114311,11.53351307,3.438127518,7.768229008,5.740484715,-113.312912,0.177366495,25.4426403
85,1,1996,1.464687467,8.340226173,0.966153204,2.308152199,11.76262188,3.558793068,7.84169054,5.751834393,-115.703598,0.177810937,25.51222038
86,2,1996,1.477977276,8.699036598,0.966078997,2.308604717,11.97313976,3.545771837,7.838049412,5.696044445,-104.3339462,0.178255156,25.51128387
87,3,1996,1.479086399,8.413833618,0.964719832,2.323302031,13.96261311,2.605420828,7.257264137,5.449261189,-64.32397461,0.183485299,25.46046257
88,4,1996,1.451680899,8.159948349,0.967573106,2.301854134,11.23043251,3.654406071,7.362310886,5.160560131,-34.25695419,0.176495671,25.07947159
89,5,1996,1.39226222,5.848510742,0.966690063,2.341563702,12.61579895,2.505535126,6.790937424,5.219557762,-39.2179451,0.179125383,25.49701118
90,6,1996,1.405066848,6.445874691,0.967737198,2.329769373,11.76092625,2.969318867,6.90165472,5.10117054,-29.7839756,0.177362844,25.26097107
91,7,1996,1.391107798,5.772687435,0.96734333,2.349720001,12.47855186,2.548680067,6.655304909,5.045463562,-26.02520752,0.178708866,25.45034218
92,8,1996,1.411477327,6.440188885,0.967485785,2.343916416,12.83759594,2.531634331,6.492037773,4.873022556,-16.7168808,0.179853573,25.42655945
93,9,1996,1.394630194,5.935580254,0.967793882,2.35427475,12.97460556,2.338276863,6.198295116,4.648468971,-8.770230293,0.180278957,25.31488037
94,10,1996,1.367866397,5.145244598,0.968219876,2.37334609,13.03670025,2.108644724,5.844089031,4.417263508,-4.044868469,0.180497095,25.22549057
95,11,1996,1.339624763,4.428463459,0.969496429,2.389195919,11.82363796,2.295897007,5.728508949,4.274790287,-2.322526455,0.176960826,25.09247017
96,12,1996,1.321109772,3.862482548,0.969588876,2.408821106,11.67845726,2.216784716,5.600133896,4.311726093,-2.700797558,0.175971568,25.25187302
97,1,1997,1.339846969,4.560726166,0.969423115,2.391795635,11.73517513,2.378927469,5.73810482,4.346346855,-3.096474171,0.175878629,25.36466408
98,2,1997,1.381450057,5.74889946,0.96908325,2.371138811,12.1559906,2.542382956,5.891905308,4.358145714,-3.240984678,0.176862165,25.4722805
99,3,1997,1.405597925,6.421606541,0.968643427,2.363312244,12.89441681,2.418642998,5.855712414,4.270751953,-2.283761024,0.178959876,25.47738457
100,4,1997,1.395112753,6.290307999,0.968760431,2.361738443,13.03297424,2.314841032,5.772094727,4.103260994,-1.06021297,0.179559797,25.32073021
101,5,1997,1.347612381,5.215770245,0.969701946,2.374412775,11.97192764,2.403762341,5.766346931,3.997968912,-0.597628951,0.17641291,25.09893608
102,6,1997,1.311775088,4.23443985,0.969827175,2.397469997,10.90082073,2.557817698,5.964108944,4.079865456,-0.940258145,0.17254819,25.15709496
103,7,1997,1.325927496,4.57124424,0.968647659,2.398355246,12.13462925,2.300121307,6.094637394,4.213143349,-1.782413483,0.175584331,25.55687904
104,8,1997,1.400914431,6.62688303,0.968533516,2.357610226,12.36910629,2.709062576,6.450370312,4.215946674,-1.804677486,0.176463589,25.48700523
105,9,1997,1.394480228,6.275944233,0.966730595,2.375856876,14.39709663,1.970227599,6.088971615,4.012350559,-0.649801552,0.181801468,25.29930115
106,10,1997,1.364950895,5.884044647,0.968833327,2.3608253,12.49091053,2.406709671,6.027808189,3.761763096,-0.099242806,0.177672386,25.00510979
107,11,1997,1.287901044,3.611216068,0.969214737,2.431790113,11.96803379,2.037561893,5.733206749,3.712100029,-0.056106891,0.175331295,25.08860207
108,12,1997,1.27892673,3.31518364,0.969170749,2.446962833,11.84365177,2.042229652,5.775414944,3.721801281,-0.063372776,0.174952865,25.22186661
109,1,1998,1.291202188,3.740171194,0.968906403,2.431524754,11.78422165,2.170645714,6.001140594,3.758810043,-0.096243367,0.174590647,25.31244469
110,2,1998,1.32751441,4.737701893,0.968447208,2.399974585,12.02578354,2.374799967,6.254336834,3.817313194,-0.167441547,0.175138623,25.40637779
111,3,1998,1.354620457,5.559698582,0.968315661,2.375157595,11.38447952,2.876122952,6.663973331,3.912666321,-0.347767979,0.173403293,25.31424904
112,4,1998,1.361156702,5.744155884,0.967438042,2.37309742,11.64173031,2.870844603,6.906128407,4.063639164,-0.863169014,0.174076572,25.43813896
113,5,1998,1.399853945,6.83671093,0.966928899,2.350824833,11.50191593,3.241561651,7.271402359,4.214343548,-1.791920424,0.17391102,25.42768288
114,6,1998,1.414571404,7.1077075,0.965538442,2.354392767,12.99410343,2.676009417,7.126705647,4.255578995,-2.14249444,0.178074703,25.65236855
115,7,1998,1.423477054,7.40561676,0.965002358,2.347311497,13.80433846,2.383438826,6.805729389,4.066214085,-0.875078082,0.181038022,25.37096024
116,8,1998,1.357937098,5.686022282,0.964363754,2.372902393,14.69055462,1.749311447,6.09496212,3.719234467,-0.061398614,0.183996752,25.10734558
117,9,1998,1.286197186,3.857717514,0.965903938,2.416476011,14.0612812,1.459423184,5.446033478,3.353991508,-0.002759695,0.182876334,24.94855309
118,10,1998,1.224075675,2.16358161,0.96715039,2.562405586,13.84719276,1.15395987,4.775813103,3.019282818,-0.006049179,0.181898937,24.94255257
119,11,1998,1.206635118,1.806488514,0.969527721,2.634440422,12.57055378,1.343729019,4.825241089,2.738824606,0.075909674,0.178104058,24.92925453
120,12,1998,1.198661327,1.647842884,0.970635176,2.688210487,11.97516155,1.526914835,5.042528152,2.567792416,0.155777231,0.175741389,25.09508514
121,1,1999,1.198814869,1.744735718,0.970752537,2.667455673,11.79887104,1.64769876,5.243489742,2.495046377,0.192882121,0.175031424,25.2550354
122,2,1999,1.253327966,2.84846282,0.970088065,2.516703606,12.78354168,1.646749973,5.242068291,2.477932453,0.201709569,0.17766048,25.50770378
123,3,1999,1.301818371,4.223805428,0.970056713,2.439928293,12.19413948,2.111263275,5.524016857,2.485486031,0.197811335,0.17651616,25.29997826
124,4,1999,1.29236412,4.183016777,0.969005525,2.443140507,12.83847523,1.949689031,5.610466957,2.458182096,0.211910665,0.178393573,25.38125992
125,5,1999,1.312944293,4.844483852,0.968727946,2.407057762,12.6806221,2.132083178,5.729545116,2.419578314,0.231825516,0.178524375,25.23468971
126,6,1999,1.288234353,4.443134785,0.968445718,2.412290812,12.45913792,2.099126577,5.733654976,2.35773468,0.263388455,0.17800726,25.16039658
127,7,1999,1.277487874,4.275940895,0.968042552,2.413829803,12.55582619,2.017117262,5.708521366,2.294741869,0.294682294,0.178250477,25.18938828
128,8,1999,1.281225562,4.33510828,0.966866791,2.417375088,13.86284351,1.656350017,5.462341309,2.166873217,0.353958219,0.181772381,25.32216835
129,9,1999,1.271615505,4.272024155,0.966748893,2.414597273,14.07253456,1.542675614,5.194696903,1.965643644,0.43252179,0.182887226,25.06367111
130,10,1999,1.192966819,2.754511356,0.96867007,2.486996889,11.79846287,1.72944057,5.164108276,1.784900069,0.490181774,0.176251322,24.85715485
131,11,1999,1.149770617,1.560501099,0.968330026,2.707247496,11.84442997,1.538779378,5.1454916,1.653015852,0.530701399,0.175256208,25.11963272
132,12,1999,1.190299988,2.636803389,0.9680233,2.519711018,11.71407318,1.887090087,5.510284901,1.635417223,0.536410511,0.174666181,25.24328613
133,1,2000,1.253683925,4.023854733,0.967468679,2.435121775,11.71320057,2.274340868,5.895588875,1.705420971,0.514278948,0.174391553,25.32641983
134,2,2000,1.308131695,5.220704079,0.966544449,2.401297331,12.45539761,2.347281218,6.097456932,1.819082856,0.479804069,0.176475018,25.4593544
135,3,2000,1.33716476,6.027038574,0.965984762,2.377570391,12.79093647,2.401267529,6.152890205,1.9021945,0.453748077,0.177841753,25.34242249
136,4,2000,1.309974313,5.646808624,0.965699315,2.376421452,12.73551655,2.313418865,6.053749084,1.911442757,0.450739235,0.178083375,25.20758438
137,5,2000,1.270428181,4.897210598,0.965530872,2.387491465,12.69174862,2.120954037,5.895097256,1.876030445,0.462125003,0.17814742,25.13330269
138,6,2000,1.245468736,4.330988407,0.964917421,2.405618906,13.45757771,1.745063305,5.608306408,1.784532785,0.490292817,0.180292547,25.21862793
139,7,2000,1.227318406,4.003774643,0.965301037,2.413084507,13.31930637,1.665146351,5.396659851,1.658367991,0.528987825,0.180228531,25.05562782
140,8,2000,1.173820019,2.849178076,0.96517396,2.482206821,13.84135818,1.293109655,5.050937176,1.465989828,0.601008534,0.181547612,25.06444168
141,9,2000,1.138752937,2.204840422,0.966956437,2.543231487,12.27327156,1.46953845,5.053560257,1.303551793,0.692051649,0.177157506,24.89434052
142,10,2000,1.107946277,1.449349165,0.967248499,2.734169006,11.98597813,1.433173537,5.213152409,1.142391205,0.828517914,0.175415605,25.07480431
143,11,2000,1.131365538,1.989914894,0.96715039,2.604834318,11.77013683,1.679071546,5.514291763,1.096188188,0.878434539,0.17454569,25.20946693
144,12,2000,1.193313122,3.275098562,0.96675992,2.479349136,11.69596481,2.092712641,5.94939518,1.163095474,0.80782485,0.174146235,25.30220032
145,1,2001,1.258979201,4.650090218,0.966163218,2.418971062,11.67090607,2.527879,6.354867935,1.321276069,0.68016535,0.174143121,25.3524189
146,2,2001,1.306012988,5.665654182,0.965277255,2.391410589,12.29464531,2.5625453,6.502493382,1.500267863,0.586069942,0.17614232,25.46844101
147,3,2001,1.332188845,6.238758564,0.963836849,2.381426096,13.88341236,2.107510805,6.226057529,1.599892259,0.548348725,0.180899054,25.3320179
148,4,2001,1.300027132,5.896692276,0.964217663,2.36937809,13.52311039,2.078690767,5.932201862,1.591742635,0.551178753,0.181021497,25.10136986
149,5,2001,1.184666753,3.737843037,0.965870857,2.413498878,11.24030209,2.217110395,5.945720196,1.550667763,0.566069067,0.174270034,24.91093254
150,6,2001,1.140253425,2.579240084,0.965254486,2.487761974,11.93844509,1.745712996,5.873683453,1.50569427,0.583810866,0.175490871,25.2493782
151,7,2001,1.214218736,4.176700115,0.965064943,2.409958124,12.3364172,2.087434769,6.078886986,1.592059135,0.551068187,0.176707879,25.36041641
152,8,2001,1.252130866,4.923669338,0.96468091,2.394264698,12.96090221,2.084485054,6.061216831,1.652436614,0.530887485,0.178451553,25.3773613
153,9,2001,1.250282288,4.916270733,0.964130282,2.396803617,13.78159523,1.826831937,5.804214954,1.634492993,0.536713779,0.181065604,25.29248428
154,10,2001,1.2061584,4.164467812,0.964847684,2.411999464,13.35789871,1.728804231,5.550526142,1.547767997,0.567164123,0.180567801,25.03682518
155,11,2001,1.126775742,2.525625944,0.965990543,2.507931471,12.46974564,1.536355615,5.395923615,1.428354859,0.618885517,0.177975193,24.95562744
156,12,2001,1.100039244,1.892555594,0.966571331,2.594458103,11.94861507,1.557835102,5.452199459,1.332290769,0.673049629,0.176047102,25.07203484
157,1,2002,1.108581901,2.121079683,0.966595948,2.564685583,11.78719521,1.713181376,5.705821991,1.314637184,0.684553623,0.175243139,25.21312904
158,2,2002,1.172095418,3.363879681,0.966258168,2.463619709,12.19269562,1.960065126,5.962543964,1.386632919,0.640775084,0.176187932,25.36030006
159,3,2002,1.234682322,4.494315147,0.965201855,2.425969124,13.78904915,1.777401567,5.864458561,1.4526788,0.607144058,0.180601135,25.408144
160,4,2002,1.239131331,4.961746216,0.966927946,2.385846853,11.41383362,2.635745049,6.151058674,1.537901163,0.570937932,0.174607486,25.03079987
161,5,2002,1.134399295,2.848091364,0.966232181,2.487987995,10.80722427,2.309952974,6.375819683,1.607355833,0.545788884,0.172091603,25.18571281
162,6,2002,1.21593225,4.454320908,0.965253711,2.409464121,11.28299904,2.696412086,6.775681019,1.83276546,0.475611627,0.173416957,25.45808792
163,7,2002,1.331391931,6.697947502,0.964619339,2.362395525,11.60411549,3.191581011,7.17031002,2.153177261,0.359897286,0.174418554,25.54701805
164,8,2002,1.371979475,7.719867706,0.964115262,2.341918945,11.33305359,3.624355555,7.507310867,2.466394663,0.20766823,0.173875496,25.43843079
165,9,2002,1.37678349,7.886769772,0.963172019,2.33723259,11.77488899,3.449790955,7.586426258,2.7410357,0.074985966,0.175325617,25.51875687
166,10,2002,1.392064333,8.264708519,0.96247673,2.329543591,12.39181519,3.208055019,7.494243145,2.939097166,0.009253226,0.177436605,25.52939796
167,11,2002,1.371778965,7.903540611,0.962480247,2.324312449,12.35715389,3.103015423,7.346032619,3.042179585,-0.009110895,0.177770659,25.3745594
168,12,2002,1.323178649,6.796382427,0.962753415,2.328937054,12.08257198,2.92996645,7.191074848,3.109704971,-0.014796881,0.177140847,25.26004791
169,1,2003,1.293499231,6.001900673,0.962956786,2.336982012,12.02429199,2.745547295,7.076188087,3.177963257,-0.015769975,0.176931515,25.28696632
170,2,2003,1.28796351,5.828566074,0.963383973,2.33770299,11.55868626,2.904679775,7.171109676,3.277200222,-0.01026022,0.175582945,25.28263283
171,3,2003,1.296594381,5.810647964,0.962725461,2.350044489,12.76781082,2.474264622,6.972873211,3.347654104,-0.003410467,0.178814635,25.57516861
172,4,2003,1.325127006,6.597083569,0.964003265,2.331600428,11.56436539,3.127408028,7.213451862,3.406769991,0.002364346,0.176036224,25.25204849
173,5,2003,1.282613277,5.376724243,0.963896453,2.353352785,11.44057846,2.919615269,7.287797451,3.546951294,0.004394377,0.175489739,25.35176086
174,6,2003,1.31916666,6.282330036,0.963791907,2.34057951,11.35922623,3.251749754,7.579414845,3.749787331,-0.087436624,0.175486818,25.43558884
175,7,2003,1.359764099,7.155547142,0.963503301,2.333311796,11.5136528,3.454184532,7.847984791,3.963418722,-0.484734207,0.176121578,25.51724243
176,8,2003,1.397093534,7.84139967,0.962718785,2.334659576,12.82888889,3.010255575,7.705469608,4.071208,-0.898521364,0.18004708,25.71746254
177,9,2003,1.402174115,8.264281273,0.964112759,2.314065933,11.18175793,3.923672199,8.043527603,4.126972198,-1.19300878,0.176174641,25.27360725
178,10,2003,1.341047287,6.44238472,0.963454008,2.337903023,11.89067459,3.180047274,7.898043156,4.288718224,-2.460072041,0.177943334,25.50537109
179,11,2003,1.385198832,7.605010033,0.963666439,2.326381683,12.11258698,3.370923758,7.957667828,4.365489483,-3.333512306,0.179036677,25.51819229
180,12,2003,1.376525521,7.344142437,0.964037299,2.327136517,12.06239605,3.356038094,7.925406456,4.387378216,-3.621368647,0.179023996,25.43667412
181,1,2004,1.361119747,6.878779888,0.964361608,2.331727266,12.07656574,3.266853094,7.854765415,4.402410984,-3.829879999,0.179097429,25.41445541
182,2,2004,1.355431437,6.570776939,0.964324176,2.34017396,12.75334072,2.917337656,7.60301733,4.360199928,-3.266668081,0.181002334,25.52457809
183,3,2004,1.350062966,6.345375061,0.964886427,2.344679117,12.95222378,2.772022963,7.332959175,4.218660355,-1.826426983,0.181844965,25.41525269
184,4,2004,1.314317822,5.311442375,0.966195226,2.359679222,12.18166828,2.855013609,7.193571568,4.098862648,-1.036841512,0.179739416,25.22079468
185,5,2004,1.292315364,4.614592075,0.966802537,2.378639936,11.91695118,2.86700654,7.107821941,4.07410717,-0.912342429,0.178672314,25.28966141
186,6,2004,1.293843627,4.520129681,0.9670825,2.386176825,11.73079395,2.984060287,7.219059944,4.100753307,-1.046841264,0.178118974,25.35407257
187,7,2004,1.315375686,5.065768719,0.967169821,2.375926971,11.34093094,3.354523659,7.53225565,4.197187424,-1.659621239,0.176905811,25.3905468
188,8,2004,1.349841475,5.843903065,0.966783822,2.364769697,11.29061604,3.637671709,7.88902092,4.366735935,-3.349412441,0.176706478,25.48398972
