parameter,value
"Total consumption",6766.955
"Sum of all exports",1129.351
"Sum of all respiratory flows",2426.994
"Sum of all flows into detritus",3875.625
"Total system throughput",14198.92
"Sum of all production",5224.929
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006523851
"Calculated total net primary production",3500.416
"Total primary production/total respiration",1.442285
"Net system production",1073.422
"Total primary production/total biomass",8.19133
"Total biomass/total throughput",0.03009607
"Total biomass (excluding detritus)",427.3319
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200262
"Total market value",2.14144
"Total shadow value",0.07183629
"Total value",2.213276
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001248
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033472
