parameter,value
"Total consumption",6802.542
"Sum of all exports",1110.871
"Sum of all respiratory flows",2445.45
"Sum of all flows into detritus",3844.922
"Total system throughput",14203.79
"Sum of all production",5227.145
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521574
"Calculated total net primary production",3501.639
"Total primary production/total respiration",1.431899
"Net system production",1056.188
"Total primary production/total biomass",8.129947
"Total biomass/total throughput",0.03032352
"Total biomass (excluding detritus)",430.7087
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998526
"Total market value",2.14144
"Total shadow value",0.07165928
"Total value",2.213099
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999479
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032536
