parameter,value
"Total consumption",6721.204
"Sum of all exports",1118.557
"Sum of all respiratory flows",2419.703
"Sum of all flows into detritus",3868.828
"Total system throughput",14128.29
"Sum of all production",5186.082
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006555409
"Calculated total net primary production",3483.565
"Total primary production/total respiration",1.439666
"Net system production",1063.862
"Total primary production/total biomass",8.071692
"Total biomass/total throughput",0.03054708
"Total biomass (excluding detritus)",431.5781
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000191
"Total market value",2.14144
"Total shadow value",0.07163964
"Total value",2.213079
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999281
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032431
