parameter,value
"Total consumption",6781.533
"Sum of all exports",1171.227
"Sum of all respiratory flows",2423.064
"Sum of all flows into detritus",3896.679
"Total system throughput",14272.5
"Sum of all production",5274.077
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006453714
"Calculated total net primary production",3538.458
"Total primary production/total respiration",1.460324
"Net system production",1115.394
"Total primary production/total biomass",8.173001
"Total biomass/total throughput",0.03033418
"Total biomass (excluding detritus)",432.9447
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999682
"Total market value",2.14144
"Total shadow value",0.07415891
"Total value",2.215599
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5024475
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028642
