parameter,value
"Total consumption",6727.207
"Sum of all exports",1198.811
"Sum of all respiratory flows",2376.865
"Sum of all flows into detritus",3925.666
"Total system throughput",14228.55
"Sum of all production",5270.443
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006487048
"Calculated total net primary production",3520.275
"Total primary production/total respiration",1.481058
"Net system production",1143.411
"Total primary production/total biomass",8.159282
"Total biomass/total throughput",0.03032244
"Total biomass (excluding detritus)",431.4443
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999977
"Total market value",2.14144
"Total shadow value",0.07453597
"Total value",2.215976
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5028244
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033319
