parameter,value
"Total consumption",6820.763
"Sum of all exports",1033.45
"Sum of all respiratory flows",2462.444
"Sum of all flows into detritus",3814.244
"Total system throughput",14130.9
"Sum of all production",5160.797
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006637552
"Calculated total net primary production",3440.454
"Total primary production/total respiration",1.397171
"Net system production",978.0105
"Total primary production/total biomass",7.965699
"Total biomass/total throughput",0.03056484
"Total biomass (excluding detritus)",431.9087
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003839
"Total market value",2.14144
"Total shadow value",0.07127771
"Total value",2.212718
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995662
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030958
