parameter,value
"Total consumption",6819.992
"Sum of all exports",1175.09
"Sum of all respiratory flows",2407.214
"Sum of all flows into detritus",3911.241
"Total system throughput",14313.54
"Sum of all production",5301.583
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006475046
"Calculated total net primary production",3526.8
"Total primary production/total respiration",1.465096
"Net system production",1119.586
"Total primary production/total biomass",8.153527
"Total biomass/total throughput",0.03021958
"Total biomass (excluding detritus)",432.549
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001207
"Total market value",2.14144
"Total shadow value",0.07187999
"Total value",2.21332
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001687
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028958
