parameter,value
"Total consumption",6698.612
"Sum of all exports",1231.291
"Sum of all respiratory flows",2387.087
"Sum of all flows into detritus",3941.523
"Total system throughput",14258.51
"Sum of all production",5284.72
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006411464
"Calculated total net primary production",3561.775
"Total primary production/total respiration",1.492101
"Net system production",1174.688
"Total primary production/total biomass",8.271547
"Total biomass/total throughput",0.0301999
"Total biomass (excluding detritus)",430.6057
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999275
"Total market value",2.14144
"Total shadow value",0.07563928
"Total value",2.217079
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5039278
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038646
