parameter,value
"Total consumption",6762.014
"Sum of all exports",1149.896
"Sum of all respiratory flows",2389.454
"Sum of all flows into detritus",3868.336
"Total system throughput",14169.7
"Sum of all production",5242.465
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006553883
"Calculated total net primary production",3484.376
"Total primary production/total respiration",1.458231
"Net system production",1094.922
"Total primary production/total biomass",8.140821
"Total biomass/total throughput",0.03020621
"Total biomass (excluding detritus)",428.0129
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20066
"Total market value",2.14144
"Total shadow value",0.0714564
"Total value",2.212896
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499745
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035345
