parameter,value
"Total consumption",6698.631
"Sum of all exports",1179.028
"Sum of all respiratory flows",2377.676
"Sum of all flows into detritus",3922.737
"Total system throughput",14178.07
"Sum of all production",5233.696
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521915
"Calculated total net primary production",3501.455
"Total primary production/total respiration",1.472637
"Net system production",1123.779
"Total primary production/total biomass",8.130982
"Total biomass/total throughput",0.03037304
"Total biomass (excluding detritus)",430.6312
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999359
"Total market value",2.14144
"Total shadow value",0.07257482
"Total value",2.214015
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008634
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032519
