parameter,value
"Total consumption",6883.119
"Sum of all exports",1168.455
"Sum of all respiratory flows",2511.124
"Sum of all flows into detritus",3929.924
"Total system throughput",14492.62
"Sum of all production",5331.209
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006303686
"Calculated total net primary production",3622.673
"Total primary production/total respiration",1.44265
"Net system production",1111.549
"Total primary production/total biomass",8.38037
"Total biomass/total throughput",0.02982765
"Total biomass (excluding detritus)",432.2808
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200344
"Total market value",2.14144
"Total shadow value",0.07333738
"Total value",2.214777
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016259
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030782
