parameter,value
"Total consumption",6725.426
"Sum of all exports",1128.81
"Sum of all respiratory flows",2406.568
"Sum of all flows into detritus",3871.089
"Total system throughput",14131.89
"Sum of all production",5199.283
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006560845
"Calculated total net primary production",3480.679
"Total primary production/total respiration",1.446324
"Net system production",1074.11
"Total primary production/total biomass",8.086059
"Total biomass/total throughput",0.03045978
"Total biomass (excluding detritus)",430.4543
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005071
"Total market value",2.14144
"Total shadow value",0.07267053
"Total value",2.21411
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500959
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032432
