parameter,value
"Total consumption",6887.084
"Sum of all exports",1191.785
"Sum of all respiratory flows",2480.354
"Sum of all flows into detritus",3991.257
"Total system throughput",14550.48
"Sum of all production",5358.689
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006315424
"Calculated total net primary production",3615.94
"Total primary production/total respiration",1.457832
"Net system production",1135.586
"Total primary production/total biomass",8.345886
"Total biomass/total throughput",0.02977635
"Total biomass (excluding detritus)",433.2602
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000547
"Total market value",2.14144
"Total shadow value",0.07118201
"Total value",2.212622
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994706
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033001
