parameter,value
"Total consumption",6799.083
"Sum of all exports",1251.688
"Sum of all respiratory flows",2395.725
"Sum of all flows into detritus",4028.015
"Total system throughput",14474.51
"Sum of all production",5365.252
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006357881
"Calculated total net primary production",3591.793
"Total primary production/total respiration",1.499251
"Net system production",1196.069
"Total primary production/total biomass",8.316757
"Total biomass/total throughput",0.02983688
"Total biomass (excluding detritus)",431.8742
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003483
"Total market value",2.14144
"Total shadow value",0.07079666
"Total value",2.212237
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990853
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031262
