parameter,value
"Total consumption",6751.164
"Sum of all exports",1166.606
"Sum of all respiratory flows",2399.214
"Sum of all flows into detritus",3886.192
"Total system throughput",14203.18
"Sum of all production",5252.958
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006504786
"Calculated total net primary production",3510.676
"Total primary production/total respiration",1.463261
"Net system production",1111.461
"Total primary production/total biomass",8.159463
"Total biomass/total throughput",0.0302931
"Total biomass (excluding detritus)",430.2582
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999107
"Total market value",2.14144
"Total shadow value",0.07364946
"Total value",2.215089
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.501938
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035883
