parameter,value
"Total consumption",6817.754
"Sum of all exports",1132.251
"Sum of all respiratory flows",2447.232
"Sum of all flows into detritus",3894.632
"Total system throughput",14291.87
"Sum of all production",5257.849
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006480921
"Calculated total net primary production",3523.603
"Total primary production/total respiration",1.439832
"Net system production",1076.371
"Total primary production/total biomass",8.157372
"Total biomass/total throughput",0.0302237
"Total biomass (excluding detritus)",431.9532
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004915
"Total market value",2.14144
"Total shadow value",0.07243126
"Total value",2.213871
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007199
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03554
