parameter,value
"Total consumption",6793.587
"Sum of all exports",1099.32
"Sum of all respiratory flows",2423.796
"Sum of all flows into detritus",3839.252
"Total system throughput",14155.96
"Sum of all production",5210.43
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006586097
"Calculated total net primary production",3467.333
"Total primary production/total respiration",1.430538
"Net system production",1043.537
"Total primary production/total biomass",8.042017
"Total biomass/total throughput",0.0304573
"Total biomass (excluding detritus)",431.1522
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004709
"Total market value",2.14144
"Total shadow value",0.07205641
"Total value",2.213496
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003449
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033053
