GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009854479,0.04890355,5.980897,0,0.008176625,0,0,0,0,0.04890355,1
2,Salmon_sharks,0.2182845,0.10042,6.110452,0.5233915,0.01643413,0.05255897,0,0,0,0.04786101,0.4766084
3,Resident_orca,0.01495807,0.04898905,8.3735,0,0.005850486,0,0,0,0,0.04898905,1
4,Sleeper_sharks,0.1101106,0.06983288,3.568568,0,0.01956888,0,0,0,0,0.06983288,1
5,Halibut,0.6855438,0.316862,1.725269,0.2450844,0.1836594,0.02500865,0.05264927,0,0,0.239204,0.921074
6,Pinnipeds,0.07331977,0.05921975,25.6768,0.7891679,0.002306353,0.008998624,0.0377357,0,0,0.01248542,0.8480469
7,Porpoise,0.01491604,0.1520109,29.36924,0.8933979,0.005175855,0.0002700395,0.1355362,0,0,0.01620468,0.9982235
8,Lingcod,0.07834937,0.5911347,3.308034,0.8224125,0.1786967,0.02027393,0.4658827,0,0,0.1049781,0.9657034
9,Arrowtooth_L,3.833537,0.2626284,1.469446,0.1321797,0.1787261,0.0003808211,0.03433331,0,0,0.2279142,0.9985499
10,Salmon_L,3.510899,1.504289,11.82378,0.6805857,0.1272257,0.5296422,0.4941551,0,0,0.4804912,0.6479118
11,Pacific_cod,0.3066589,1.2071,4.016199,0.6666122,0.3005579,0.2163717,0.5882961,0,0,0.4024325,0.8207509
12,Sablefish,0.472638,0.5816563,6.479558,0.8556561,0.0897679,0.03958697,0.4581108,0,0,0.08395851,0.931941
13,Arrowtooth_S,0.2466326,0.2153499,3.303784,0.9150522,0.06518278,0,0.1970564,0,0,0.0182935,1
14,Spiny_dogfish,0.1577506,0.09246425,3.056722,0.7419326,0.03024948,0,0.06860223,0,0,0.02386201,1
15,Avian_raptors,0.003315805,0.05013664,37.20475,0,0.001347587,0,0,0,0,0.05013664,1
16,Octopods,0.1533469,3.087182,11.59946,0.9557273,0.2661489,0.001506959,2.948997,0,0,0.136678,0.9995118
17,Seabirds,0.02188051,0.1736174,147.3715,0.6796007,0.001178093,0,0.1179905,0,0,0.0556269,1
18,Deep_demersals,1.009995,0.9931132,3.258949,0.9419568,0.3047342,0.002675136,0.9327946,0,0,0.05764345,0.9973063
19,Pollock_L,5.004283,1.311454,2.686754,0.553479,0.4881184,0.03256091,0.6933014,0,0,0.5855917,0.9751719
20,Rockfish,1.065869,0.3015183,3.437178,0.7596143,0.08772261,0.01286184,0.2161757,0,0,0.07248068,0.9573431
