parameter,value
"Total consumption",6810.144
"Sum of all exports",1066.056
"Sum of all respiratory flows",2437.588
"Sum of all flows into detritus",3835.07
"Total system throughput",14148.86
"Sum of all production",5188.53
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006620692
"Calculated total net primary production",3449.216
"Total primary production/total respiration",1.415012
"Net system production",1011.627
"Total primary production/total biomass",7.982698
"Total biomass/total throughput",0.03053861
"Total biomass (excluding detritus)",432.0864
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005168
"Total market value",2.14144
"Total shadow value",0.07123065
"Total value",2.212671
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995192
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029702
