parameter,value
"Total consumption",6785.606
"Sum of all exports",1089.238
"Sum of all respiratory flows",2411.416
"Sum of all flows into detritus",3825.734
"Total system throughput",14112
"Sum of all production",5194.88
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006630626
"Calculated total net primary production",3444.048
"Total primary production/total respiration",1.428226
"Net system production",1032.632
"Total primary production/total biomass",7.981627
"Total biomass/total throughput",0.03057661
"Total biomass (excluding detritus)",431.497
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002344
"Total market value",2.14144
"Total shadow value",0.07382315
"Total value",2.215263
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5021118
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032073
