parameter,value
"Total consumption",6803.084
"Sum of all exports",1100.756
"Sum of all respiratory flows",2409.669
"Sum of all flows into detritus",3888.795
"Total system throughput",14202.3
"Sum of all production",5217.374
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006608612
"Calculated total net primary production",3455.521
"Total primary production/total respiration",1.434023
"Net system production",1045.851
"Total primary production/total biomass",7.98532
"Total biomass/total throughput",0.03046929
"Total biomass (excluding detritus)",432.7342
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000901
"Total market value",2.14144
"Total shadow value",0.07451609
"Total value",2.215956
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5028046
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026623
