parameter,value
"Total consumption",6797.367
"Sum of all exports",1106.765
"Sum of all respiratory flows",2431.387
"Sum of all flows into detritus",3842.827
"Total system throughput",14178.35
"Sum of all production",5222.084
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006554448
"Calculated total net primary production",3484.076
"Total primary production/total respiration",1.432958
"Net system production",1052.688
"Total primary production/total biomass",8.093253
"Total biomass/total throughput",0.0303626
"Total biomass (excluding detritus)",430.4914
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002575
"Total market value",2.14144
"Total shadow value",0.07054742
"Total value",2.211987
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988359
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033982
