parameter,value
"Total consumption",6779.313
"Sum of all exports",1153.952
"Sum of all respiratory flows",2435.392
"Sum of all flows into detritus",3911.6
"Total system throughput",14280.26
"Sum of all production",5257.021
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006460628
"Calculated total net primary production",3534.671
"Total primary production/total respiration",1.451377
"Net system production",1099.279
"Total primary production/total biomass",8.183704
"Total biomass/total throughput",0.03024565
"Total biomass (excluding detritus)",431.9157
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004078
"Total market value",2.14144
"Total shadow value",0.0711155
"Total value",2.212555
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994041
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034963
