parameter,value
"Total consumption",6754.06
"Sum of all exports",1143.664
"Sum of all respiratory flows",2412.442
"Sum of all flows into detritus",3885.58
"Total system throughput",14195.75
"Sum of all production",5233.282
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006520548
"Calculated total net primary production",3502.189
"Total primary production/total respiration",1.45172
"Net system production",1089.747
"Total primary production/total biomass",8.134067
"Total biomass/total throughput",0.03033009
"Total biomass (excluding detritus)",430.5582
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001165
"Total market value",2.14144
"Total shadow value",0.07248957
"Total value",2.213929
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007781
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038263
