parameter,value
"Total consumption",6894.976
"Sum of all exports",1208.401
"Sum of all respiratory flows",2457.325
"Sum of all flows into detritus",3965.266
"Total system throughput",14525.97
"Sum of all production",5379.042
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006328147
"Calculated total net primary production",3608.67
"Total primary production/total respiration",1.468536
"Net system production",1151.345
"Total primary production/total biomass",8.346392
"Total biomass/total throughput",0.02976482
"Total biomass (excluding detritus)",432.3629
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001733
"Total market value",2.14144
"Total shadow value",0.06981559
"Total value",2.211256
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981042
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029812
