parameter,value
"Total consumption",6729.484
"Sum of all exports",1163.287
"Sum of all respiratory flows",2419.086
"Sum of all flows into detritus",3884.594
"Total system throughput",14196.45
"Sum of all production",5236.666
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006474407
"Calculated total net primary production",3527.148
"Total primary production/total respiration",1.45805
"Net system production",1108.062
"Total primary production/total biomass",8.256166
"Total biomass/total throughput",0.030093
"Total biomass (excluding detritus)",427.2138
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000182
"Total market value",2.14144
"Total shadow value",0.07086651
"Total value",2.212306
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991552
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039718
