parameter,value
"Total consumption",6778.715
"Sum of all exports",1227.649
"Sum of all respiratory flows",2404.714
"Sum of all flows into detritus",3991.498
"Total system throughput",14402.58
"Sum of all production",5328.823
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006385077
"Calculated total net primary production",3576.495
"Total primary production/total respiration",1.487285
"Net system production",1171.781
"Total primary production/total biomass",8.278633
"Total biomass/total throughput",0.02999569
"Total biomass (excluding detritus)",432.0151
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003355
"Total market value",2.14144
"Total shadow value",0.07316785
"Total value",2.214608
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5014564
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032407
