parameter,value
"Total consumption",6820.81
"Sum of all exports",1042.505
"Sum of all respiratory flows",2486.672
"Sum of all flows into detritus",3828.97
"Total system throughput",14178.96
"Sum of all production",5170.672
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006569294
"Calculated total net primary production",3476.202
"Total primary production/total respiration",1.397933
"Net system production",989.5298
"Total primary production/total biomass",8.067542
"Total biomass/total throughput",0.03038922
"Total biomass (excluding detritus)",430.8874
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002625
"Total market value",2.14144
"Total shadow value",0.07093556
"Total value",2.212375
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992241
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029355
