parameter,value
"Total consumption",6643.814
"Sum of all exports",1054.695
"Sum of all respiratory flows",2365.01
"Sum of all flows into detritus",3770.442
"Total system throughput",13833.96
"Sum of all production",5076.433
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006786732
"Calculated total net primary production",3364.829
"Total primary production/total respiration",1.422755
"Net system production",999.8191
"Total primary production/total biomass",7.873921
"Total biomass/total throughput",0.03089053
"Total biomass (excluding detritus)",427.3384
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004149
"Total market value",2.14144
"Total shadow value",0.07034388
"Total value",2.211784
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986326
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037628
