parameter,value
"Total consumption",6660.362
"Sum of all exports",1147.972
"Sum of all respiratory flows",2367.771
"Sum of all flows into detritus",3834.384
"Total system throughput",14010.49
"Sum of all production",5179.229
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006600779
"Calculated total net primary production",3459.621
"Total primary production/total respiration",1.46113
"Net system production",1091.851
"Total primary production/total biomass",8.097377
"Total biomass/total throughput",0.03049516
"Total biomass (excluding detritus)",427.2521
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000836
"Total market value",2.14144
"Total shadow value",0.0705212
"Total value",2.211961
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988097
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037195
