parameter,value
"Total consumption",6771.318
"Sum of all exports",1101.806
"Sum of all respiratory flows",2421.055
"Sum of all flows into detritus",3795.89
"Total system throughput",14090.07
"Sum of all production",5200.631
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006586844
"Calculated total net primary production",3466.94
"Total primary production/total respiration",1.431996
"Net system production",1045.885
"Total primary production/total biomass",8.033991
"Total biomass/total throughput",0.03062682
"Total biomass (excluding detritus)",431.534
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003513
"Total market value",2.14144
"Total shadow value",0.06858386
"Total value",2.210024
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968725
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034288
