parameter,value
"Total consumption",6842.45
"Sum of all exports",1222.714
"Sum of all respiratory flows",2449.636
"Sum of all flows into detritus",4017.827
"Total system throughput",14532.63
"Sum of all production",5363.638
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006311537
"Calculated total net primary production",3618.167
"Total primary production/total respiration",1.477022
"Net system production",1168.531
"Total primary production/total biomass",8.43521
"Total biomass/total throughput",0.0295154
"Total biomass (excluding detritus)",428.9362
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003412
"Total market value",2.14144
"Total shadow value",0.06846598
"Total value",2.209906
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4967545
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030452
