parameter,value
"Total consumption",6700.304
"Sum of all exports",1104.317
"Sum of all respiratory flows",2395.842
"Sum of all flows into detritus",3852.081
"Total system throughput",14052.54
"Sum of all production",5161.408
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006625714
"Calculated total net primary production",3446.601
"Total primary production/total respiration",1.438576
"Net system production",1050.759
"Total primary production/total biomass",8.051922
"Total biomass/total throughput",0.03046046
"Total biomass (excluding detritus)",428.047
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.199971
"Total market value",2.14144
"Total shadow value",0.06966391
"Total value",2.211104
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979526
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03188
