parameter,value
"Total consumption",6870.455
"Sum of all exports",1214.56
"Sum of all respiratory flows",2428.75
"Sum of all flows into detritus",3977.56
"Total system throughput",14491.32
"Sum of all production",5371.897
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006366227
"Calculated total net primary production",3587.084
"Total primary production/total respiration",1.476926
"Net system production",1158.334
"Total primary production/total biomass",8.271811
"Total biomass/total throughput",0.02992491
"Total biomass (excluding detritus)",433.6516
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001556
"Total market value",2.14144
"Total shadow value",0.07179077
"Total value",2.213231
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000793
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030189
