parameter,value
"Total consumption",6817.342
"Sum of all exports",1159.468
"Sum of all respiratory flows",2444.854
"Sum of all flows into detritus",3913.863
"Total system throughput",14335.53
"Sum of all production",5284.733
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006434399
"Calculated total net primary production",3549.08
"Total primary production/total respiration",1.451653
"Net system production",1104.225
"Total primary production/total biomass",8.23726
"Total biomass/total throughput",0.03005518
"Total biomass (excluding detritus)",430.8568
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001702
"Total market value",2.14144
"Total shadow value",0.07193784
"Total value",2.213378
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002264
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031547
