parameter,value
"Total consumption",6703.359
"Sum of all exports",1124.548
"Sum of all respiratory flows",2352.888
"Sum of all flows into detritus",3827.441
"Total system throughput",14008.24
"Sum of all production",5183.9
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006671232
"Calculated total net primary production",3423.085
"Total primary production/total respiration",1.454844
"Net system production",1070.197
"Total primary production/total biomass",7.962388
"Total biomass/total throughput",0.03068958
"Total biomass (excluding detritus)",429.9068
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998731
"Total market value",2.14144
"Total shadow value",0.07433232
"Total value",2.215772
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026208
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0358
