parameter,value
"Total consumption",6801.976
"Sum of all exports",1155.637
"Sum of all respiratory flows",2451.705
"Sum of all flows into detritus",3881.244
"Total system throughput",14290.56
"Sum of all production",5273.685
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006425959
"Calculated total net primary production",3553.741
"Total primary production/total respiration",1.449498
"Net system production",1102.036
"Total primary production/total biomass",8.302242
"Total biomass/total throughput",0.02995305
"Total biomass (excluding detritus)",428.0459
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001191
"Total market value",2.14144
"Total shadow value",0.07206964
"Total value",2.21351
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003582
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039521
